tensor_name,file_offset,size_bytes,layer_id,component_type,n_dims,dim0,dim1,dim2,dim3
blk.15.ffn_gate.weight,282943488,46137344,15,FFN Gate,2,2048,5632,0,0
blk.15.ffn_up.weight,289431552,46137344,15,FFN Up,2,2048,5632,0,0
blk.15.ffn_norm.weight,295919616,8192,15,FFN Norm,1,2048,0,0,0
blk.15.attn_k.weight,295927808,2097152,15,Attention K,2,2048,256,0,0
blk.15.attn_output.weight,296222720,16777216,15,Output Projection,2,2048,2048,0,0
blk.15.attn_q.weight,298582016,16777216,15,Attention Q,2,2048,2048,0,0
blk.15.attn_v.weight,300941312,2097152,15,Attention V,2,2048,256,0,0
blk.16.attn_norm.weight,301371392,8192,16,Attention Norm,1,2048,0,0,0
blk.16.ffn_down.weight,301379584,46137344,16,FFN Down,2,5632,2048,0,0
blk.16.ffn_gate.weight,307867648,46137344,16,FFN Gate,2,2048,5632,0,0
blk.16.ffn_up.weight,314355712,46137344,16,FFN Up,2,2048,5632,0,0
blk.16.ffn_norm.weight,320843776,8192,16,FFN Norm,1,2048,0,0,0
blk.16.attn_k.weight,320851968,2097152,16,Attention K,2,2048,256,0,0
blk.16.attn_output.weight,321146880,16777216,16,Output Projection,2,2048,2048,0,0
blk.16.attn_q.weight,323506176,16777216,16,Attention Q,2,2048,2048,0,0
blk.16.attn_v.weight,325865472,2097152,16,Attention V,2,2048,256,0,0
blk.17.attn_norm.weight,326160384,8192,17,Attention Norm,1,2048,0,0,0
blk.17.ffn_down.weight,326168576,46137344,17,FFN Down,2,5632,2048,0,0
blk.17.ffn_gate.weight,332656640,46137344,17,FFN Gate,2,2048,5632,0,0
blk.17.ffn_up.weight,339144704,46137344,17,FFN Up,2,2048,5632,0,0
blk.17.ffn_norm.weight,345632768,8192,17,FFN Norm,1,2048,0,0,0
blk.17.attn_k.weight,345640960,2097152,17,Attention K,2,2048,256,0,0
blk.17.attn_output.weight,345935872,16777216,17,Output Projection,2,2048,2048,0,0
blk.17.attn_q.weight,348295168,16777216,17,Attention Q,2,2048,2048,0,0
blk.17.attn_v.weight,350654464,2097152,17,Attention V,2,2048,256,0,0
blk.18.attn_norm.weight,350949376,8192,18,Attention Norm,1,2048,0,0,0
blk.18.ffn_down.weight,350957568,46137344,18,FFN Down,2,5632,2048,0,0
blk.18.ffn_gate.weight,360419328,46137344,18,FFN Gate,2,2048,5632,0,0
blk.18.ffn_up.weight,366907392,46137344,18,FFN Up,2,2048,5632,0,0
blk.18.ffn_norm.weight,373395456,8192,18,FFN Norm,1,2048,0,0,0
blk.18.attn_k.weight,373403648,2097152,18,Attention K,2,2048,256,0,0
blk.18.attn_output.weight,373698560,16777216,18,Output Projection,2,2048,2048,0,0
blk.18.attn_q.weight,376057856,16777216,18,Attention Q,2,2048,2048,0,0
blk.18.attn_v.weight,378417152,2097152,18,Attention V,2,2048,256,0,0
blk.19.attn_norm.weight,378847232,8192,19,Attention Norm,1,2048,0,0,0
blk.19.ffn_down.weight,378855424,46137344,19,FFN Down,2,5632,2048,0,0
blk.19.ffn_gate.weight,385343488,46137344,19,FFN Gate,2,2048,5632,0,0
blk.19.ffn_up.weight,391831552,46137344,19,FFN Up,2,2048,5632,0,0
blk.19.ffn_norm.weight,398319616,8192,19,FFN Norm,1,2048,0,0,0
blk.19.attn_k.weight,398327808,2097152,19,Attention K,2,2048,256,0,0
blk.19.attn_output.weight,398622720,16777216,19,Output Projection,2,2048,2048,0,0
blk.19.attn_q.weight,400982016,16777216,19,Attention Q,2,2048,2048,0,0
blk.19.attn_v.weight,403341312,2097152,19,Attention V,2,2048,256,0,0
blk.2.attn_norm.weight,403636224,8192,2,Attention Norm,1,2048,0,0,0
blk.2.ffn_down.weight,403644416,46137344,2,FFN Down,2,5632,2048,0,0
blk.2.ffn_gate.weight,410132480,46137344,2,FFN Gate,2,2048,5632,0,0
blk.2.ffn_up.weight,416620544,46137344,2,FFN Up,2,2048,5632,0,0
blk.2.ffn_norm.weight,423108608,8192,2,FFN Norm,1,2048,0,0,0
blk.2.attn_k.weight,423116800,2097152,2,Attention K,2,2048,256,0,0
